Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Job Security,Work Life Balance,Work Satisfaction,Promotions
Shree Cement,Building Material,Beawar,255,7,2800,3.8,Low,Medium,Medium,Low
Landmark Group,Retail,Bangalore,175,8,2700,3.8,High,Medium,Medium,Low
Britannia,FMCG,Pune,302,3,2700,4.0,High,Medium,Medium,Low
SRF,Chemicals,Bharuch,69,13,2700,4.1,High,Medium,Medium,Low
Dalmia Bharat Cement,Building Material,Guwahati,253,3,2700,3.9,High,Medium,Medium,Low
Blue Dart Express Ltd,Logistics,Mumbai,281,3,2700,3.9,High,Medium,Medium,Low
Kansai Nerolac Paints,Chemicals,Mumbai,254,66,2700,3.8,Medium,Medium,Medium,Low
Exide Industries,Auto Components,Kolkata,200,46,2700,3.4,Medium,Medium,Low,Low
Whitehat jr,EdTech,Mumbai,49,0,2700,3.3,Low,Medium,Medium,Low
Zepto,Internet,Bangalore,102,31,2700,3.5,Low,Medium,Medium,Low
Shell,Oil & Gas,Bangalore,92,5,2700,3.9,Low,High,Medium,Low
Nestlé,FMCG,Gurgaon,280,18,2700,3.8,Medium,Low,Low,Low
Flex,Electronics Manufacturing,Chennai,47,53,2700,3.9,Medium,High,High,Low
Capita,BPO,Pune,32,42,2700,3.5,Low,Medium,Medium,Low
Micro Labs,Pharma,Bangalore,152,13,2600,3.6,High,Medium,Medium,Low
TVS Supply Chain Solutions,Logistics,Chennai,153,11,2600,3.8,High,Medium,Medium,Low
ZS,Management Consulting,Pune,17,127,2600,3.1,Medium,Low,Low,Low
ElasticRun,Logistics,Pune,386,4,2600,3.6,Low,Low,Medium,Low
KPMG Global Services,Management Consulting,Bangalore,38,12,2600,3.4,Medium,Medium,Low,Low
Tata Electronics,Semiconductors,Hosur,51,18,2600,3.9,High,Medium,Medium,Low
Star Health & Allied Insurance,Insurance,Chennai,329,21,2600,3.5,Medium,Medium,Low,Low
KFintech,Financial Services,Hyderabad,114,9,2600,3.4,Medium,Medium,Medium,Low
G4S,Law Enforcement & Security,Gurgaon,163,637,2600,4.0,Medium,High,Medium,Low
Voltas,Consumer Electronics & Appliances,Mumbai,207,17,2600,4.0,High,High,Medium,Low
Sonalika Tractors,Automobile,Hoshiarpur,195,0,2600,3.6,Medium,Low,Medium,Low
BlackBuck,Internet,Bangalore,367,20,2600,3.7,Low,Medium,Medium,Low
Ajanta Pharma,Pharma,Mumbai,119,40,2600,3.9,High,Medium,Medium,Low
Blue Star,Consumer Electronics & Appliances,Mumbai,147,9,2600,4.1,Medium,Medium,Medium,Low
Care Health Insurance,Insurance,Gurgaon,245,44,2600,3.6,Medium,Medium,Low,Low
Domino's Pizza,Hospitality,New Delhi,247,0,2600,3.9,Medium,Medium,Medium,Medium
Exl India,Logistics,New Delhi,44,1,2600,3.6,High,Medium,Medium,Low
Movate,IT Services & Consulting,Chennai,39,99,2500,3.2,Medium,Medium,Medium,Low
ACT Fibernet,Telecom,Hyderabad,58,121,2500,3.9,High,Medium,Medium,Low
Gallagher,Insurance,Bangalore,30,154,2500,3.7,High,High,Medium,Low
Fortis Healthcare,Healthcare,New Delhi,70,689,2500,4.0,High,High,Medium,Medium
NoBroker,Internet,Bangalore,48,310,2500,3.0,Low,Medium,Low,Low
Adani Power,Power,Mundra,128,0,2500,3.7,Medium,Medium,Medium,Low
Sahrudaya Healthcare (Medicover Hospitals),Healthcare,Hyderabad,46,25,2500,4.4,Medium,High,High,Medium
Bajaj Electricals,Consumer Electronics & Appliances,Mumbai,234,20,2500,3.9,Medium,High,Medium,Low
DBS Bank,Banking,Hyderabad,178,222,2500,3.7,Medium,Medium,Low,Low
Sterlite Technologies,Hardware & Networking,Aurangabad,102,132,2500,3.8,Low,Medium,Medium,Low
V-Mart,Retail,Gurgaon,285,19,2500,4.1,High,Medium,Medium,Medium
Sammaan Capital Limited,NBFC,Gurgaon,202,1,2500,3.8,Medium,Medium,Medium,Low
Foundever,BPO,Hyderabad,23,73,2500,3.4,Medium,Medium,Low,Low
Alldigi Tech,BPO,Chennai,37,19,2500,3.9,High,High,Medium,Low
Tata Advanced Systems,Defence & Aerospace,Bangalore,57,0,2500,3.7,High,Medium,Medium,Low
Himalaya Wellness,Pharma,Bangalore,237,20,2500,4.0,Medium,High,Medium,Low
BT Group,Telecom,Gurgaon,24,6,2500,3.8,Medium,High,Medium,Low
Tractors and Farm Equipment,Industrial Machinery,Chennai,193,13,2500,4.0,Medium,High,Medium,Low
Foxconn,Electronics Manufacturing,Chennai,61,17,2500,3.9,High,Medium,Medium,Low
Parle Agro,Beverage,Mumbai,258,3,2500,4.0,High,High,Medium,Low
JCB,Industrial Machinery,Pune,114,0,2400,3.9,Medium,High,Medium,Low
IntouchCX,BPO,Hyderabad,23,209,2500,2.7,Low,Medium,Medium,Low
Northern Trust Operating Services,Financial Services,Bangalore,28,34,2500,3.6,Medium,Medium,Low,Low
Physicswallah,EdTech,Noida,123,90,2500,3.6,Low,Medium,Low,Low
Patanjali Ayurved,FMCG,Haridwar,302,0,2400,3.9,Medium,High,Medium,Low
Laurus Labs,Pharma,Visakhapatnam,34,7,2400,4.3,High,Medium,Medium,Medium
McDonald's,Hospitality,New Delhi,150,0,2400,3.8,High,Medium,Medium,Medium
Photon Interactive,IT Services & Consulting,Chennai,19,865,2400,4.1,Medium,Medium,High,Medium
Statestreet HCL Services,BPO,Chennai,19,0,2400,3.4,Medium,Medium,Medium,Low
Paras Hospital,Healthcare,Patna,63,33,2400,4.1,Medium,High,Medium,Medium
ICICI Securities,Financial Services,Mumbai,149,1,2400,3.9,High,High,Medium,Medium
Planet Spark,EdTech,Gurgaon,62,67,2400,3.9,Medium,High,Medium,Medium
Canara HSBC Life Insurance,Insurance,Gurgaon,313,5,2400,3.6,Low,Medium,Low,Medium
Emcure Pharmaceuticals,Pharma,Pune,116,33,2400,3.6,Low,Medium,Medium,Low
Mahindra Rural Housing Finance,NBFC,Mumbai,464,10,2400,4.0,Medium,High,Medium,Low
Mahindra Holidays & Resorts,Hospitality,Mumbai,114,65,2400,3.5,Medium,Low,Low,Low
Datamatics Global Services,IT Services & Consulting,Mumbai,38,35,2400,3.4,Medium,Medium,Medium,Low
Biocon Limited,Biotechnology,Bangalore,66,16,2400,4.0,High,High,Medium,Low
Intellect Design Arena,Software Product,Chennai,41,19,2400,3.6,High,Low,Medium,Low
Hero FinCorp,NBFC,New Delhi,390,47,2400,3.9,Medium,High,Medium,Low
Axis Direct,Financial Services,Mumbai,271,46,2400,3.6,Medium,Medium,Low,Low
Taj Hotels Resorts and Palaces,Hospitality,Mumbai,110,183,2400,4.2,High,Medium,Medium,Medium
Cholamandalam MS General Insurance,Insurance,Chennai,387,0,2300,3.7,Medium,Medium,Low,Low
Adani Group,Power,Ahmedabad,193,1000,2300,3.8,Medium,Medium,Medium,Low
Capgemini Engineering,IT Services & Consulting,Bangalore,28,0,2300,3.4,Medium,Medium,Low,Low
3i Infotech,IT Services & Consulting,Mumbai,129,95,2300,3.4,Medium,Medium,Medium,Low
Info Edge,Internet,Noida,70,308,2300,3.9,High,High,Medium,Low
Cadila Pharmaceuticals,Pharma,Ahmedabad,134,65,2300,3.3,Low,Medium,Medium,Low
Aditya Birla Group,Metals & Mining,Mumbai,267,0,2300,4.1,High,High,Medium,Medium
Syngene International,Clinical Research,Bangalore,22,0,2300,3.9,High,High,Medium,Low
CorroHealth infotech,Analytics & KPO,Hyderabad,36,83,2300,3.7,Medium,Low,Medium,Low
KocharTech,IT Services & Consulting,Kolkata,26,39,2300,3.7,Medium,Medium,Medium,Low
Bureau Veritas,Other,Mumbai,144,9,2300,3.8,Medium,High,Medium,Low
Cybage,IT Services & Consulting,Pune,16,32,2300,3.8,High,High,Low,Low
Delhi Public School,Education & Training,New Delhi,274,189,2300,3.8,Medium,Medium,Medium,Low
Aavas Financiers,NBFC,Jaipur,293,33,2300,3.9,Medium,Medium,Medium,Medium
Xoriant,IT Services & Consulting,Pune,24,51,2300,4.1,Medium,High,High,Medium
Lifestyle,Retail,Bangalore,130,15,2300,4.2,High,High,Medium,Medium
RMSI,IT Services & Consulting,Hyderabad,26,16,2300,3.6,Medium,Medium,Medium,Low
Akums Drugs & Pharmaceuticals Limited,Pharma,Haridwar,40,15,2300,4.2,High,High,Medium,Medium
Sopra Steria,IT Services & Consulting,Noida,21,201,2300,3.9,High,High,Medium,Low
GVK Emergency Management and Research Institute,Non-Profit,Lucknow,213,37,2300,3.6,Low,Medium,Medium,Low
Eureka Forbes,Consumer Electronics & Appliances,Mumbai,185,3,2300,3.6,Low,Medium,Medium,Low
Kia India,Automobile,Anantapur,188,85,2300,4.0,High,Medium,Medium,Low
Straive,IT Services & Consulting,Chennai,32,96,2300,3.3,Medium,Medium,Medium,Low
TaskUs,BPO,Indore,36,243,2200,3.1,Low,Medium,Medium,Low
Sobha,Real Estate,Bangalore,38,50,2200,3.8,High,Low,Medium,Low
Unacademy,EdTech,Bangalore,73,38,2200,2.9,Low,Medium,Medium,Low
Radisson Hotels,Hospitality,New Delhi,127,22,2200,4.0,High,Medium,Medium,Medium
Apollo Pharmacy,Pharma,Hyderabad,281,1000,2200,3.7,High,Medium,Low,Low
Lodha,Real Estate,Mumbai,31,205,2200,4.1,High,High,Medium,Medium
Myntra,Internet,Bangalore,104,50,2200,3.9,Medium,High,Medium,Low
Endurance Technologies Limited,Auto Components,Aurangabad,49,20,2200,3.9,High,Medium,Medium,Low
Panasonic Life Solutions India,Consumer Electronics & Appliances,Haridwar,170,11,2200,3.9,High,High,Medium,Low
Lava International,Consumer Electronics & Appliances,Noida,223,1,2200,3.9,Medium,High,Medium,Low
SBI Securities,Financial Services,Mumbai,316,26,2200,3.6,Medium,Medium,Low,Low
Team Computers,IT Services & Consulting,New Delhi,104,158,2200,3.6,Medium,Medium,Medium,Low
TCE,Engineering & Construction,Mumbai,133,24,2200,3.8,High,High,Medium,Low
Adani Wilmar,FMCG,Ahmedabad,199,92,2200,4.0,High,Medium,Medium,Medium
Whirlpool,Consumer Electronics & Appliances,Pune,176,25,2200,4.0,Medium,High,High,Low
Star Union Dai-ichi Life Insurance,Insurance,Mumbai,315,32,2200,3.8,Medium,High,Medium,Medium
Indian Railways,Railways,Kolkata,247,0,2200,4.2,High,High,Medium,Medium
Bharti AXA Life Insurance,Insurance,Mumbai,244,44,2200,3.6,Low,Medium,Low,Low
GlaxoSmithKline Pharmaceuticals,Pharma,Bangalore,218,31,2200,4.0,Medium,High,Medium,Low
Cisco,Hardware & Networking,Bangalore,47,168,2200,4.1,Medium,High,High,Low
Daikin Airconditioning India Pvt. Ltd.,Consumer Electronics & Appliances,Neemrana,108,0,2200,4.1,High,High,Medium,Low
SBI General Insurance,Insurance,Mumbai,287,25,2200,3.6,Medium,Medium,Low,Low
Nokia Networks,Hardware & Networking,Chennai,88,0,2200,4.1,Medium,High,High,Low
Coromandel International,Agro Chemicals,Visakhapatnam,183,13,2100,4.1,High,High,Medium,Low
Renault Nissan Technology & Business Centre India,Automobile,Chennai,19,21,2100,3.8,High,High,Medium,Low
Sify Technologies,IT Services & Consulting,Chennai,133,26,2100,3.7,Medium,Medium,Medium,Low
Shahi Exports,Fashion & Textile,Bangalore,71,33,2100,3.9,High,High,Medium,Low
Meesho,Internet,Bangalore,132,111,2100,3.7,Low,Medium,Medium,Low
Ambuja Cements,Building Material,Mumbai,256,0,2100,3.9,Low,Medium,Medium,Low
BNP Paribas,Banking,Mumbai,28,87,2100,3.7,High,High,Low,Low
Allstate,Insurance,Pune,16,14,2100,3.6,Low,High,Medium,Low
ValueLabs,IT Services & Consulting,Hyderabad,21,62,2100,3.5,Low,Medium,Low,Low
Newgen Software Technologies,IT Services & Consulting,Noida,33,41,2100,4.0,High,High,Medium,Medium
Huawei Technologies,Telecom,Bangalore,106,34,2100,4.0,Low,Medium,Medium,Medium
Bank of Baroda,Banking,Mumbai,300,0,2100,3.5,High,Medium,Low,Low
Life Insurance Corporation of India,Insurance,New Delhi,471,1,2100,4.4,Medium,High,Medium,Medium
Microsoft Corporation,Software Product,Bangalore,48,0,2100,3.8,Low,High,Medium,Low
Brakes India,Auto Components,Chennai,101,1,2100,3.9,High,Medium,Medium,Low
GAO Tek,Electrical Equipment,New York,41,0,2100,4.5,Medium,High,Medium,Medium
Simplex Infrastructures,Engineering & Construction,Kolkata,139,0,2100,3.4,Medium,Low,Medium,Low
BHEL,Electrical Equipment,Bangalore,129,0,2100,4.2,High,High,Medium,Medium
Spark Minda,Auto Components,Pune,76,3,2100,3.8,Medium,Medium,Medium,Low
CAMS,Financial Services,Chennai,108,22,2100,3.6,High,Medium,Low,Low
Cargill,Food Processing,Bangalore,120,437,2100,3.9,Medium,High,Medium,Low
Pfizer,Pharma,Visakhapatnam,133,54,2100,3.9,Low,High,Medium,Low
Generali Central Life Insurance,Insurance,Mumbai,200,30,2100,3.5,Low,Medium,Low,Low
upGrad,EdTech,Bangalore,50,70,2100,3.4,Low,Medium,Low,Low
Poonawalla Fincorp,NBFC,Pune,264,19,2100,3.6,Medium,Medium,Low,Low
Power Mech Projects,Engineering & Construction,Hyderabad,151,7,2100,3.8,High,Medium,Medium,Low
FirstCry,Retail,Pune,212,14,2100,3.6,Medium,Medium,Low,Low
Force Motors,Automobile,Pune,108,2,2100,3.7,Medium,Medium,Low,Low
"Maruti Suzuki India Limited, Hansalpur",Automobile,Ahmedabad,104,0,2100,4.2,High,Medium,Medium,Medium
Ola Cabs,Internet,Bangalore,113,13,2100,3.3,Low,Medium,Medium,Low
Mercedes-Benz Research and Development India,IT Services & Consulting,Bangalore,53,142,2100,3.7,High,High,Low,Low
Bharat Petroleum,Oil & Gas,Mumbai,260,0,2100,4.2,Medium,High,Medium,Low
Nuvoco Vistas,Building Material,Kolkata,197,13,2100,4.1,High,High,Medium,Medium
Raymond Lifestyle Limited,Fashion & Textile,Mumbai,150,1,2000,4.1,High,High,Medium,Low
NTT DATA Business Solutions,IT Services & Consulting,Bangalore,33,31,2000,4.1,High,High,Medium,Medium
Reliance Trends,Retail,Bangalore,392,0,2000,4.1,High,Medium,Medium,Medium
Saint-Gobain,Building Material,Mumbai,104,113,2000,3.9,High,High,Medium,Low
Renault-Nissan,Automobile,Chennai,87,0,2000,4.1,High,High,Medium,Low
Kotak Securities,Financial Services,Mumbai,139,33,2000,3.5,Medium,Medium,Low,Low
Manipal Hospitals,Healthcare,Bangalore,68,91,2000,4.1,High,Medium,Medium,Low
Jio Platforms,IT Services & Consulting,Mumbai,104,0,2000,3.4,High,Medium,Medium,Low
Extramarks Education,EdTech,Noida,112,16,2000,3.4,Low,Medium,Low,Low
ITC Hotels,Hospitality,New Delhi,95,0,2000,4.1,High,Medium,Medium,Low
Reliance General Insurance,Insurance,Mumbai,194,6,2000,3.6,Medium,Medium,Low,Low
JK Tyre,Auto Components,Chennai,142,1,2000,3.6,Medium,Medium,Medium,Low
Delphi TVS,Auto Components,Chennai,61,6,2000,3.9,Medium,Medium,Medium,Low
Henry Harvin Education,EdTech,Noida,34,58,2000,3.5,Medium,Medium,Medium,Low
CitiusTech,IT Services & Consulting,Mumbai,17,48,2000,3.2,Low,Medium,Low,Low
Biological E,Pharma,Hyderabad,72,45,2000,4.2,High,High,Medium,Medium
Ninjacart,Internet,Bangalore,114,23,2000,3.8,Low,Medium,Medium,Low
Morgan Stanley,Financial Services,Mumbai,20,5,2000,3.6,Low,Medium,Low,Low
Infinite Computer Solutions,IT Services & Consulting,Bangalore,37,208,2000,3.3,Low,Medium,Medium,Low
SGS,"Testing, Inspection and Certification (TIC)",Mumbai,146,125,2000,3.8,Medium,High,Medium,Low
State Street Syntel,Financial Services,Mumbai,22,0,2000,3.7,High,Medium,Medium,Low
YASH Technologies,IT Services & Consulting,Hyderabad,32,385,2000,3.7,Medium,High,Low,Low
Novartis,Pharma,Hyderabad,76,147,2000,4.1,Medium,High,Medium,Low
EPAM Systems,IT Services & Consulting,Hyderabad,36,100,2000,3.7,Low,High,Low,Low
Senco Gold,Jewellery,Kolkata,78,4,2000,4.4,High,Medium,Medium,Medium
HSBC Electronic Data Processing,IT Services & Consulting,Bangalore,20,0,2000,4.1,High,High,Medium,Low
SAP,Software Product,Bangalore,54,206,1900,4.1,High,High,Medium,Low
L&T Energy Hydrocarbon,Engineering & Construction,Vadodara,88,0,1900,3.8,High,Low,Medium,Low
IDBI Bank,Banking,Mumbai,331,0,1900,3.4,Medium,Low,Medium,Low
AECOM,Engineering & Construction,Gurgaon,123,130,1900,4.2,Medium,High,High,Low
K12 Techno Services,EdTech,Bangalore,43,213,1900,3.6,Low,Medium,Medium,Low
Narayana Health,Healthcare,Bangalore,65,97,1900,3.9,High,Medium,Medium,Low
Paisabazaar.com,Internet,Gurgaon,36,38,1900,3.4,Low,Medium,Medium,Low
Aditya Birla Health Insurance Co,Insurance,Mumbai,252,4,1900,3.7,Medium,Medium,Medium,Low
Schindler,Industrial Machinery,Pune,89,68,1900,3.9,Medium,Medium,Medium,Low
Honeywell Automation,Industrial Automation,Pune,79,0,1900,3.7,Medium,Medium,Medium,Low
R.R. Donnelley,Marketing & Advertising,Chennai,28,25,1900,3.7,High,Medium,Medium,Low
Motherson Automotive Technologies and Engineering,Auto Components,Chennai,68,30,1900,3.8,High,Medium,Medium,Low
Uflex,Packaging,Noida,48,68,1900,3.8,High,High,Medium,Low
Philips,Medical Equipment,Bangalore,97,83,1900,3.8,Low,High,Medium,Low
Dr Lal PathLabs,Healthcare,New Delhi,203,80,1900,4.2,High,Medium,Medium,Medium
Shadowfax Technologies,Logistics,Bangalore,240,46,1900,3.5,Low,Medium,Medium,Low
Gabriel India Limited,Auto Components,Pune,52,0,1900,4.1,High,Medium,Medium,Low
V-Guard Industries,Consumer Electronics & Appliances,Kochi,170,25,1900,4.3,High,High,Medium,Low
NCR Corporation,IT Services & Consulting,Hyderabad,90,34,1900,3.5,Low,Medium,Medium,Low
Trent,Retail,Mumbai,144,5,1900,3.8,High,Medium,Medium,Low
Parle Products,FMCG,Mumbai,244,7,1900,3.9,Medium,Medium,Medium,Low
Microland,IT Services & Consulting,Bangalore,47,586,1900,3.5,Medium,Medium,Low,Low
Haier Appliances India,Consumer Electronics & Appliances,Pune,157,18,1900,3.9,Medium,High,Medium,Low
Tekwissen,IT Services & Consulting,Visakhapatnam,6,36,1900,4.9,Medium,High,High,Medium
Crisil,Analytics & KPO,Mumbai,81,627,1900,3.5,Medium,Medium,Low,Low
Google,Software Product,Bangalore,86,570,1900,4.4,Medium,High,High,Medium
Spinny,Internet,Gurgaon,63,45,1900,3.7,Low,Low,Medium,Low
Globiva,BPO,Gurgaon,28,111,1900,3.0,Medium,Medium,Low,Low
Lucas-TVS,Auto Components,Chennai,77,8,1900,3.9,High,Medium,Medium,Low
CMS Infosystems,Software Product,Mumbai,217,7,1900,3.5,Medium,Medium,Medium,Low
CNH (Case New Holland),Industrial Machinery,Gurgaon,138,24,1900,3.7,Medium,High,Medium,Low
Angel One,FinTech,Mumbai,133,18,1900,3.6,Low,Medium,Low,Low
Adecco Group,Recruitment,Bangalore,181,0,1900,3.8,Low,High,Medium,Low
Tata Tele Business Services,Telecom,Mumbai,136,65,1900,3.6,Medium,Medium,Low,Low
Safexpress,Logistics,New Delhi,158,13,1900,3.9,High,High,Medium,Low
DHL Supply Chain,Logistics,Mumbai,102,11,1900,4.2,High,High,Medium,Medium
G R Infraprojects,Engineering & Construction,Gurgaon,156,43,1900,4.1,Medium,High,Medium,Medium
Aye Finance,NBFC,Gurgaon,363,27,1900,4.1,Medium,High,Medium,Medium
Tata Power,Power,Mumbai,151,10,1900,3.9,High,High,Medium,Low
Iris Software,IT Services & Consulting,Noida,25,378,1900,3.8,Medium,High,Medium,Low
Infinx,Software Product,Hyderabad,37,21,1800,3.8,High,Medium,Medium,Low
NTPC,Power,New Delhi,122,0,1800,4.2,Medium,High,Medium,Medium
HTC Global Services,IT Services & Consulting,Chennai,33,54,1800,3.4,Medium,Medium,Medium,Low
Aadhar Housing Finance,NBFC,Mumbai,322,1,1800,4.0,Medium,Medium,Medium,Medium
Thomson Reuters,Software Product,Bangalore,27,69,1800,3.8,Medium,High,Medium,Low
Trident Group,Fashion & Textile,Barnala,59,8,1800,3.3,Low,Low,Medium,Medium
Hindustan Aeronautics,Defence & Aerospace,Bangalore,65,0,1800,4.3,High,High,High,Medium
TVS Sundram Fasteners,Auto Components,Chennai,67,0,1800,3.6,Medium,Medium,Medium,Low
First American (India),Insurance,Bangalore,23,63,1800,3.6,Medium,Medium,Medium,Low
KENT RO Systems,Consumer Electronics & Appliances,Noida,153,5,1800,3.8,Medium,High,Medium,Low
Torrent Power,Power,Ahmedabad,62,50,1800,3.8,High,High,Medium,Low
Jindal Saw,Iron & Steel,Mundra,77,13,1800,4.0,High,High,High,Medium
ICICI Home Finance,Financial Services,Mumbai,218,9,1800,3.7,Medium,Medium,Low,Medium
PI Industries,Agro Chemicals,Vadodara,106,6,1800,3.8,Medium,Medium,Medium,Low
Aragen Life Sciences,Clinical Research,Hyderabad,32,112,1800,3.9,High,High,Medium,Low
NeoSOFT,IT Services & Consulting,Mumbai,25,73,1800,3.4,Low,Medium,Medium,Low
CSB Bank,Banking,Mumbai,232,3,1800,3.2,Medium,Medium,Low,Low
Medi Assist India,Insurance,Bangalore,67,79,1800,3.5,Medium,Medium,Low,Low
Honda Cars,Automobile,Bhiwadi,118,0,1800,4.3,High,High,Medium,Medium
Polycab Wires,Electrical Equipment,Vadodara,168,20,1800,3.9,Medium,High,Medium,Medium
Fusion CX,BPO,Kolkata,58,83,1800,3.3,Low,Medium,Low,Low
Sterling & Wilson,Engineering & Construction,Mumbai,130,22,1800,4.0,High,High,Medium,Medium
AXA Business Services,IT Services & Consulting,Pune,12,17,1800,3.8,High,High,Medium,Low
AkzoNobel,Chemicals,Pune,162,24,1800,4.1,Medium,High,Medium,Low
Verizon,Telecom,Hyderabad,12,0,1800,3.6,Low,Medium,Low,Low
Infra.Market,Building Material,Mumbai,129,8,1800,4.0,Medium,High,Medium,Medium
Stellar Migration,Other,Dubai,8,0,1800,1.3,Medium,Low,Low,Medium
Capri Global Capital,NBFC,New Delhi,327,53,1800,3.6,Low,Medium,Low,Low
Innovsource Services,Recruitment,Mumbai,248,1,1800,3.9,Medium,Medium,Medium,Low
TELUS Digital,IT Services & Consulting,Noida,26,31,1800,3.6,Low,Medium,Low,Low
SS&C TECHNOLOGIES,IT Services & Consulting,Mumbai,31,82,1800,3.3,Medium,Medium,Low,Low
Cafe Coffee Day,Hospitality,Bangalore,105,8,1800,3.7,Medium,Medium,Medium,Low
MetLife,Insurance,Noida,45,39,1800,4.1,High,High,Medium,Low
Kalyan Jewellers,Jewellery,Thrissur,157,13,1700,4.4,High,Medium,Medium,Medium
Future Retail,Retail,Mumbai,198,0,1700,4.4,Medium,High,Medium,Medium
DIVI'S Laboratories,Pharma,Visakhapatnam,37,0,1700,3.6,Medium,Medium,Low,Low
Godrej Properties,Real Estate,Mumbai,35,3,1700,3.6,Medium,Medium,Low,Low
Dhani Loans and Services,NBFC,Gurgaon,188,19,1700,3.9,Low,High,Medium,Low
Haldiram Foods International Limited,FMCG,Nagpur,165,0,1700,3.8,Medium,Medium,Medium,Low
Tata Communications Transformation Services,Telecom,Pune,96,0,1700,3.8,Medium,High,Medium,Low
Hindustan Petroleum,Oil & Gas,Mumbai,253,0,1700,4.2,High,High,Medium,Medium
USHA International,Consumer Electronics & Appliances,Gurgaon,148,11,1700,4.1,High,High,Medium,Low
Reckitt Benckiser,FMCG,Gurgaon,137,52,1700,4.0,Medium,High,Medium,Low
Security and Intelligence Services (India),Law Enforcement & Security,New Delhi,197,38,1700,4.0,High,High,Medium,Medium
Digit Insurance,Insurance,Bangalore,88,89,1700,3.8,High,Medium,Medium,Low
USV,Pharma,Mumbai,108,29,1700,4.0,High,High,Medium,Medium
BT Business,Telecom,Gurgaon,13,0,1700,3.9,High,High,Medium,Low
HDFC Securities,Financial Services,Mumbai,186,40,1700,3.4,Medium,Medium,Low,Low
Isgec Heavy Engineering,Engineering & Construction,Noida,91,52,1700,3.8,High,Medium,Medium,Low
Vedantu,EdTech,Bangalore,71,25,1700,3.3,Low,Medium,Low,Low
Bata,Fashion & Textile,Gurgaon,148,8,1700,3.5,Medium,Medium,Low,Low
LivSpace,Architecture & Interior Design,Bangalore,54,102,1700,3.3,Low,Low,Medium,Low
Exela Technologies,BPO,Chennai,27,98,1700,3.2,Medium,Medium,Medium,Low
NEC,IT Services & Consulting,Noida,55,13,1700,4.0,Medium,High,High,Medium
Pine Labs,FinTech,Noida,119,81,1700,3.3,Low,Medium,Low,Low
Air India,Aviation,New Delhi,65,30,1700,3.4,Medium,Medium,Low,Low
Metro Cash & Carry,Retail,Bangalore,89,0,1700,4.0,Medium,High,Medium,Low
Mother Dairy Fruit & Vegetable,Food Processing,New Delhi,128,0,1700,4.0,High,High,Medium,Low
Annapurna Finance,NBFC,Bhubaneswar,392,3,1700,3.9,Medium,Medium,Medium,Low
Indian Navy,Defence & Aerospace,Mumbai,76,0,1700,4.6,High,Medium,Medium,Medium
Adani Green Energy,Power,Ahmedabad,115,0,1700,3.9,Medium,Medium,Medium,Low
Granules India Limited,Pharma,Hyderabad,23,3,1700,3.8,Medium,Medium,Low,Low
Cavinkare,FMCG,Chennai,174,10,1700,4.0,Medium,High,Medium,Medium
BVG India,Facility Management Services,Pune,132,92,1700,4.3,Medium,High,High,Medium
Sysnet Global Technologies,IT Services & Consulting,New Delhi,153,566,1700,3.7,Medium,Medium,Medium,Low
Provana,BPO,Noida,12,38,1700,3.9,Medium,High,High,Medium
FactSet,Analytics & KPO,Hyderabad,18,42,1600,3.7,High,High,Medium,Low
Orange Business,IT Services & Consulting,Gurgaon,53,4,1600,4.2,High,High,Medium,Low
Medanta the Medicity,Healthcare,Gurgaon,48,78,1600,4.0,High,Medium,Medium,Low
Caterpillar Inc,Industrial Machinery,Chennai,44,101,1600,4.1,High,High,Medium,Low
American Broadcasting Company,Engineering & Construction,Bangalore,107,9,1600,4.0,High,High,Medium,Medium
Hitachi Astemo,Auto Components,Neemrana,52,0,1600,4.1,High,High,Medium,Low
Yamaha Motor,Automobile,Chennai,155,18,1600,4.1,Medium,High,High,Low
Frankfinn Institute of Air Hostess Training,Education & Training,Gurgaon,62,67,1600,3.8,Medium,Medium,Medium,Medium
TTEC India,BPO,Ahmedabad,35,16,1600,3.7,Medium,Medium,Medium,Low
KONE,Industrial Machinery,Chennai,73,29,1600,4.1,High,High,Medium,Low
Rane (Madras),Auto Components,Chennai,57,21,1600,3.9,High,Medium,Medium,Low
DHL Express,Logistics,Mumbai,93,0,1600,4.1,High,High,Medium,Low
HighRadius,Software Product,Hyderabad,16,36,1600,2.6,Low,Medium,Low,Medium
Cushman & Wakefield,Real Estate,Gurgaon,45,178,1600,4.2,High,High,Medium,Medium
JSW Bhushan Power & Steel,Iron & Steel,Jharsuguda,66,0,1600,4.0,Medium,High,Medium,Low
BA Continuum,IT Services & Consulting,Hyderabad,19,0,1600,4.0,High,High,Medium,Low
L.G.Balakrishnan & Bros,Auto Components,Coimbatore,62,0,1600,3.5,High,Medium,Medium,Low
MagicBricks,Internet,Noida,35,38,1600,4.0,Medium,High,Medium,Medium
Rungta Mines,Metals & Mining,Chaibasa,57,0,1600,4.0,High,High,Medium,Medium
Johnson & Johnson,Healthcare,Mumbai,171,11,1600,4.0,Medium,High,Medium,Low
Tata Play,Broadcasting,Mumbai,223,1,1600,4.0,Medium,High,Medium,Low
Procter & Gamble,FMCG,Mumbai,250,1,1600,4.0,Medium,High,Medium,Medium
Wipro Enterprises Ltd,FMCG,Bangalore,122,116,1600,3.8,High,Medium,Medium,Low
