Company Name,Industry Type,Primary Office Location,Operating Locations,Job Openings,Total Reviews,Overall Rating,Highly Rated,Critically Rated
Morgan Stanley,Financial Services ,Mumbai,20.0,5,2k,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Infinite Computer Solutions,IT Services & Consulting ,Bangalore,37.0,208,2k,3.3,,"Promotions / Appraisal, Job Security, Company Culture"
SGS,"Testing, Inspection and Certification (TIC) ",Mumbai,146.0,125,2k,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
State Street Syntel,Financial Services ,Mumbai,22.0,--,2k,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits"
YASH Technologies,IT Services & Consulting ,Hyderabad,32.0,385,2k,3.7,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Novartis,Pharma ,Hyderabad,76.0,147,2k,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
EPAM Systems,IT Services & Consulting ,Hyderabad,36.0,100,2k,3.7,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security, Work Satisfaction"
Senco Gold,Jewellery ,Kolkata,78.0,4,2k,4.4,"Job Security, Skill Development / Learning, Company Culture",
HSBC Electronic Data Processing,IT Services & Consulting ,Bangalore,20.0,--,2k,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
SAP,Software Product ,Bangalore,54.0,206,1.9k,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
L&T Energy Hydrocarbon,Engineering & Construction ,Vadodara,88.0,--,1.9k,3.8,Job Security,"Promotions / Appraisal, Work Life Balance, Company Culture"
IDBI Bank,Banking ,Mumbai,331.0,--,1.9k,3.4,,"Promotions / Appraisal, Company Culture, Work Life Balance"
AECOM,Engineering & Construction ,Gurgaon,123.0,130,1.9k,4.2,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
K12 Techno Services,EdTech ,Bangalore,43.0,213,1.9k,3.6,,"Promotions / Appraisal, Job Security"
Narayana Health,Healthcare ,Bangalore,65.0,97,1.9k,3.9,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Paisabazaar.com,Internet ,Gurgaon,36.0,38,1.9k,3.4,,"Job Security, Promotions / Appraisal, Company Culture"
Aditya Birla Health Insurance Co,Insurance ,Mumbai,252.0,4,1.9k,3.7,,Promotions / Appraisal
Schindler,Industrial Machinery ,Pune,89.0,68,1.9k,3.9,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal
Honeywell Automation,Industrial Automation ,Pune,79.0,--,1.9k,3.7,,Promotions / Appraisal
R.R. Donnelley,Marketing & Advertising ,Chennai,28.0,25,1.9k,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits"
Motherson Automotive Technologies and Engineering,Auto Components ,Chennai,68.0,30,1.9k,3.8,Job Security,Promotions / Appraisal
Uflex,Packaging ,Noida,48.0,68,1.9k,3.8,"Job Security, Work Life Balance",Promotions / Appraisal
Philips,Medical Equipment ,Bangalore,97.0,83,1.9k,3.8,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Dr Lal PathLabs,Healthcare ,New Delhi,203.0,80,1.9k,4.2,"Job Security, Skill Development / Learning, Company Culture",
Shadowfax Technologies,Logistics ,Bangalore,240.0,46,1.9k,3.5,,"Promotions / Appraisal, Job Security, Company Culture"
Gabriel India Limited,Auto Components ,Pune,52.0,--,1.9k,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
V-Guard Industries,Consumer Electronics & Appliances ,Kochi,170.0,25,1.9k,4.3,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
NCR Corporation,IT Services & Consulting ,Hyderabad,90.0,34,1.9k,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Trent,Retail ,Mumbai,144.0,5,1.9k,3.8,Job Security,Promotions / Appraisal
Parle Products,FMCG ,Mumbai,244.0,7,1.9k,3.9,Salary & Benefits,Promotions / Appraisal
Microland,IT Services & Consulting ,Bangalore,47.0,586,1.9k,3.5,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Haier Appliances India,Consumer Electronics & Appliances ,Pune,157.0,18,1.9k,3.9,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Tekwissen,IT Services & Consulting ,Visakhapatnam,6.0,36,1.9k,4.9,"Company Culture, Work Life Balance, Work Satisfaction",
Crisil,Analytics & KPO ,Mumbai,81.0,627,1.9k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Google,Software Product ,Bangalore,86.0,570,1.9k,4.4,"Company Culture, Work Life Balance, Work Satisfaction",
Spinny,Internet ,Gurgaon,63.0,45,1.9k,3.7,,"Promotions / Appraisal, Job Security, Work Life Balance"
Globiva,BPO ,Gurgaon,28.0,111,1.9k,3.0,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Lucas-TVS,Auto Components ,Chennai,77.0,8,1.9k,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits"
CMS Infosystems,Software Product ,Mumbai,217.0,7,1.9k,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
CNH (Case New Holland),Industrial Machinery ,Gurgaon,138.0,24,1.9k,3.7,Work Life Balance,Promotions / Appraisal
Angel One,FinTech ,Mumbai,133.0,18,1.9k,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Adecco Group,Recruitment ,Bangalore,181.0,--,1.9k,3.8,Work Life Balance,"Promotions / Appraisal, Job Security"
Tata Tele Business Services,Telecom ,Mumbai,136.0,65,1.9k,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Safexpress,Logistics ,New Delhi,158.0,13,1.9k,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
DHL Supply Chain,Logistics ,Mumbai,102.0,11,1.9k,4.2,"Job Security, Work Life Balance, Company Culture",
G R Infraprojects,Engineering & Construction ,Gurgaon,156.0,43,1.9k,4.1,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Aye Finance,NBFC ,Gurgaon,363.0,27,1.9k,4.1,"Salary & Benefits, Company Culture, Work Life Balance",
Tata Power,Power ,Mumbai,151.0,10,1.9k,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Iris Software,IT Services & Consulting ,Noida,25.0,378,1.9k,3.8,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Infinx,Software Product ,Hyderabad,37.0,21,1.8k,3.8,Job Security,Promotions / Appraisal
NTPC,Power ,New Delhi,122.0,--,1.8k,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",
HTC Global Services,IT Services & Consulting ,Chennai,33.0,54,1.8k,3.4,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Aadhar Housing Finance,NBFC ,Mumbai,322.0,1,1.8k,4.0,"Company Culture, Skill Development / Learning, Salary & Benefits",
Thomson Reuters,Software Product ,Bangalore,27.0,69,1.8k,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal
Trident Group,Fashion & Textile ,Barnala,59.0,8,1.8k,3.3,Salary & Benefits,"Job Security, Company Culture, Work Life Balance"
Hindustan Aeronautics,Defence & Aerospace ,Bangalore,65.0,--,1.8k,4.3,"Work Life Balance, Work Satisfaction, Job Security",
TVS Sundram Fasteners,Auto Components ,Chennai,67.0,--,1.8k,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
First American (India),Insurance ,Bangalore,23.0,63,1.8k,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
KENT RO Systems,Consumer Electronics & Appliances ,Noida,153.0,5,1.8k,3.8,Work Life Balance,Promotions / Appraisal
Torrent Power,Power ,Ahmedabad,62.0,50,1.8k,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Jindal Saw,Iron & Steel ,Mundra,77.0,13,1.8k,4.0,"Job Security, Work Life Balance, Work Satisfaction",
ICICI Home Finance,Financial Services ,Mumbai,218.0,9,1.8k,3.7,Salary & Benefits,Work Satisfaction
PI Industries,Agro Chemicals ,Vadodara,106.0,6,1.8k,3.8,Salary & Benefits,Promotions / Appraisal
Aragen Life Sciences,Clinical Research ,Hyderabad,32.0,112,1.8k,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
NeoSOFT,IT Services & Consulting ,Mumbai,25.0,73,1.8k,3.4,,"Job Security, Promotions / Appraisal, Company Culture"
CSB Bank,Banking ,Mumbai,232.0,3,1.8k,3.2,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Medi Assist India,Insurance ,Bangalore,67.0,79,1.8k,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Honda Cars,Automobile ,Bhiwadi,118.0,--,1.8k,4.3,"Work Life Balance, Company Culture, Job Security",
Polycab Wires,Electrical Equipment ,Vadodara,168.0,20,1.8k,3.9,"Salary & Benefits, Work Life Balance",
Fusion CX,BPO ,Kolkata,58.0,83,1.8k,3.3,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sterling & Wilson,Engineering & Construction ,Mumbai,130.0,22,1.8k,4.0,"Work Life Balance, Job Security, Company Culture",
AXA Business Services,IT Services & Consulting ,Pune,12.0,17,1.8k,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
AkzoNobel,Chemicals ,Pune,162.0,24,1.8k,4.1,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Verizon,Telecom ,Hyderabad,12.0,--,1.8k,3.6,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction"
Infra.Market,Building Material ,Mumbai,129.0,8,1.8k,4.0,"Salary & Benefits, Company Culture, Work Life Balance",
Stellar Migration,Other ,Dubai,8.0,--,1.8k,1.3,,"Company Culture, Work Life Balance, Work Satisfaction"
Capri Global Capital,NBFC ,New Delhi,327.0,53,1.8k,3.6,,"Work Satisfaction, Job Security, Promotions / Appraisal"
Innovsource Services,Recruitment ,Mumbai,248.0,1,1.8k,3.9,,Promotions / Appraisal
TELUS Digital,IT Services & Consulting ,Noida,26.0,31,1.8k,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction"
SS&C TECHNOLOGIES,IT Services & Consulting ,Mumbai,31.0,82,1.8k,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cafe Coffee Day,Hospitality ,Bangalore,105.0,8,1.8k,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
MetLife,Insurance ,Noida,45.0,39,1.8k,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Kalyan Jewellers,Jewellery ,Thrissur,157.0,13,1.7k,4.4,"Salary & Benefits, Company Culture, Job Security",
Future Retail,Retail ,Mumbai,198.0,--,1.7k,4.4,"Company Culture, Skill Development / Learning, Work Life Balance",
DIVI'S Laboratories,Pharma ,Visakhapatnam,37.0,--,1.7k,3.6,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Godrej Properties,Real Estate ,Mumbai,35.0,3,1.7k,3.6,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Dhani Loans and Services,NBFC ,Gurgaon,188.0,19,1.7k,3.9,Work Life Balance,"Promotions / Appraisal, Job Security"
Haldiram Foods International Limited,FMCG ,Nagpur,165.0,--,1.7k,3.8,,Promotions / Appraisal
Tata Communications Transformation Services,Telecom ,Pune,96.0,--,1.7k,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Hindustan Petroleum,Oil & Gas ,Mumbai,253.0,--,1.7k,4.2,"Company Culture, Work Life Balance, Job Security",
USHA International,Consumer Electronics & Appliances ,Gurgaon,148.0,11,1.7k,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Reckitt Benckiser,FMCG ,Gurgaon,137.0,52,1.7k,4.0,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Security and Intelligence Services (India),Law Enforcement & Security ,New Delhi,197.0,38,1.7k,4.0,"Work Life Balance, Job Security, Company Culture",
Digit Insurance,Insurance ,Bangalore,88.0,89,1.7k,3.8,"Job Security, Skill Development / Learning",Promotions / Appraisal
USV,Pharma ,Mumbai,108.0,29,1.7k,4.0,"Company Culture, Work Life Balance, Job Security",
BT Business,Telecom ,Gurgaon,13.0,--,1.7k,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HDFC Securities,Financial Services ,Mumbai,186.0,40,1.7k,3.4,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Isgec Heavy Engineering,Engineering & Construction ,Noida,91.0,52,1.7k,3.8,Job Security,"Promotions / Appraisal, Company Culture"
Vedantu,EdTech ,Bangalore,71.0,25,1.7k,3.3,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Bata,Fashion & Textile ,Gurgaon,148.0,8,1.7k,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
LivSpace,Architecture & Interior Design ,Bangalore,54.0,102,1.7k,3.3,,"Promotions / Appraisal, Job Security, Work Life Balance"
Exela Technologies,BPO ,Chennai,27.0,98,1.7k,3.2,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
NEC,IT Services & Consulting ,Noida,55.0,13,1.7k,4.0,"Work Life Balance, Company Culture, Work Satisfaction",
Pine Labs,FinTech ,Noida,119.0,81,1.7k,3.3,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Air India,Aviation ,New Delhi,65.0,30,1.7k,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Metro Cash & Carry,Retail ,Bangalore,89.0,--,1.7k,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Mother Dairy Fruit & Vegetable,Food Processing ,New Delhi,128.0,--,1.7k,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Annapurna Finance,NBFC ,Bhubaneswar,392.0,3,1.7k,3.9,Salary & Benefits,Promotions / Appraisal
Indian Navy,Defence & Aerospace ,Mumbai,76.0,--,1.7k,4.6,"Job Security, Skill Development / Learning, Company Culture",
Adani Green Energy,Power ,Ahmedabad,115.0,--,1.7k,3.9,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Granules India Limited,Pharma ,Hyderabad,23.0,3,1.7k,3.8,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Cavinkare,FMCG ,Chennai,174.0,10,1.7k,4.0,"Salary & Benefits, Company Culture, Work Life Balance",
BVG India,Facility Management Services ,Pune,132.0,92,1.7k,4.3,"Work Life Balance, Company Culture, Work Satisfaction",
Sysnet Global Technologies,IT Services & Consulting ,New Delhi,153.0,566,1.7k,3.7,,"Promotions / Appraisal, Salary & Benefits"
Provana,BPO ,Noida,12.0,38,1.7k,3.9,"Company Culture, Work Life Balance, Work Satisfaction",
FactSet,Analytics & KPO ,Hyderabad,18.0,42,1.6k,3.7,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Orange Business,IT Services & Consulting ,Gurgaon,53.0,4,1.6k,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Medanta the Medicity,Healthcare ,Gurgaon,48.0,78,1.6k,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Caterpillar Inc,Industrial Machinery ,Chennai,44.0,101,1.6k,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
American Broadcasting Company,Engineering & Construction ,Bangalore,107.0,9,1.6k,4.0,"Company Culture, Work Life Balance, Job Security",
Hitachi Astemo,Auto Components ,Neemrana,52.0,--,1.6k,4.1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Yamaha Motor,Automobile ,Chennai,155.0,18,1.6k,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Frankfinn Institute of Air Hostess Training,Education & Training ,Gurgaon,62.0,67,1.6k,3.8,,
TTEC India,BPO ,Ahmedabad,35.0,16,1.6k,3.7,Company Culture,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
KONE,Industrial Machinery ,Chennai,73.0,29,1.6k,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Rane (Madras),Auto Components ,Chennai,57.0,21,1.6k,3.9,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
DHL Express,Logistics ,Mumbai,93.0,--,1.6k,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
HighRadius,Software Product ,Hyderabad,16.0,36,1.6k,2.6,,"Job Security, Company Culture, Work Satisfaction"
Cushman & Wakefield,Real Estate ,Gurgaon,45.0,178,1.6k,4.2,"Company Culture, Work Life Balance, Job Security",
JSW Bhushan Power & Steel,Iron & Steel ,Jharsuguda,66.0,--,1.6k,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
BA Continuum,IT Services & Consulting ,Hyderabad,19.0,--,1.6k,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
L.G.Balakrishnan & Bros,Auto Components ,Coimbatore,62.0,--,1.6k,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
MagicBricks,Internet ,Noida,35.0,38,1.6k,4.0,"Salary & Benefits, Company Culture, Work Life Balance",
Rungta Mines,Metals & Mining ,Chaibasa,57.0,--,1.6k,4.0,"Work Life Balance, Job Security, Salary & Benefits",
Johnson & Johnson,Healthcare ,Mumbai,171.0,11,1.6k,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tata Play,Broadcasting ,Mumbai,223.0,1,1.6k,4.0,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Procter & Gamble,FMCG ,Mumbai,250.0,1,1.6k,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",
Wipro Enterprises Ltd,FMCG ,Bangalore,122.0,116,1.6k,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits"
Matrimony.com,Internet ,Chennai,64.0,35,1.6k,4.0,"Company Culture, Work Life Balance, Job Security",
Compass Group Support Services,Facility Management Services ,Bangalore,77.0,44,1.6k,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Orchids International School,Education & Training ,Bangalore,34.0,21,1.6k,3.8,Skill Development / Learning,Promotions / Appraisal
Vardhman Fabrics,Fashion & Textile ,Baddi,63.0,10,1.6k,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
CG Power and Industrial Solutions,Electrical Equipment ,Bhopal,91.0,5,1.6k,3.8,,Promotions / Appraisal
Hero Motors Company,Automobile ,Ghaziabad,231.0,--,1.6k,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Chegg,EdTech ,New Delhi,78.0,6,1.6k,4.1,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal"
Suryoday Small Finance Bank,Banking ,Mumbai,231.0,2,1.6k,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",
Arvind Group,Fashion & Textile ,Ahmedabad,92.0,--,1.6k,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Patanjali Foods,FMCG ,Haridwar,230.0,2,1.6k,3.8,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
CMA CGM,Ports & Shipping ,Chennai,38.0,11,1.6k,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Belrise Industries,Auto Components ,Pune,59.0,12,1.6k,3.7,,"Promotions / Appraisal, Company Culture"
PharmEasy,Internet ,Bangalore,71.0,1,1.6k,3.7,,"Job Security, Promotions / Appraisal, Work Satisfaction"
HERE Technologies,IT Services & Consulting ,Mumbai,20.0,20,1.6k,3.8,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Clover Infotech,IT Services & Consulting ,Mumbai,23.0,97,1.6k,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
IIFL SAMASTA,NBFC ,Bangalore,398.0,--,1.6k,3.7,,"Company Culture, Work Satisfaction, Promotions / Appraisal"
Krishna Maruti,Auto Components ,Gurgaon,51.0,7,1.6k,3.8,"Job Security, Work Life Balance",Promotions / Appraisal
Marico,FMCG ,Mumbai,183.0,23,1.6k,3.8,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Coronis Ajuba Solutions,BPO ,Chennai,32.0,18,1.6k,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Honda,Automobile ,Gurgaon,228.0,5,1.6k,4.1,"Work Life Balance, Job Security, Company Culture",
Wockhardt,Pharma ,Aurangabad,84.0,1,1.6k,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
ReNew,Power ,Gurgaon,106.0,51,1.6k,4.3,"Job Security, Company Culture, Work Life Balance",
Welspun Living Limited,Fashion & Textile ,Anjar,86.0,--,1.6k,3.9,Skill Development / Learning,Promotions / Appraisal
Tata 1mg,Internet ,Gurgaon,64.0,61,1.6k,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Toyota Kirloskar Motor,Automobile ,Bangalore,91.0,--,1.6k,4.3,"Company Culture, Skill Development / Learning, Job Security",
Emami,FMCG ,Kolkata,175.0,6,1.6k,3.8,"Work Life Balance, Job Security",Promotions / Appraisal
Satin Creditcare Network,NBFC ,Gurgaon,323.0,1,1.5k,3.9,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Godrej Industries Group,Real Estate ,Mumbai,149.0,3,1.5k,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Teva Pharmaceuticals,Pharma ,Bangalore,53.0,41,1.5k,3.9,Work Life Balance,Promotions / Appraisal
Goldman Sachs,Financial Services ,Bangalore,23.0,216,1.5k,3.3,,"Work Life Balance, Job Security, Promotions / Appraisal"
ZF Commercial Vehicle Control Systems,Auto Components ,Chennai,49.0,--,1.5k,3.9,,Promotions / Appraisal
Veritas Finance,NBFC ,Chennai,299.0,--,1.5k,4.4,"Company Culture, Work Life Balance, Salary & Benefits",
Dixon Technologies,Electronics Manufacturing ,Noida,47.0,3,1.5k,3.9,Skill Development / Learning,
KFC,Hospitality ,New Delhi,173.0,--,1.5k,4.1,"Skill Development / Learning, Job Security, Company Culture",
Shriram Life Insurance,Insurance ,Hyderabad,322.0,35,1.5k,3.5,,"Promotions / Appraisal, Work Satisfaction, Job Security"
iOPEX Technologies,IT Services & Consulting ,Chennai,17.0,39,1.5k,3.2,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Supreme Industries,Petrochemicals ,Gwalior,122.0,--,1.5k,4.1,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Mercer,Management Consulting ,New Delhi,18.0,72,1.5k,3.6,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Greenko Group,Power ,Hyderabad,227.0,3,1.5k,3.9,"Job Security, Work Life Balance",Promotions / Appraisal
NielsenIQ,Analytics & KPO ,Chennai,55.0,31,1.5k,3.5,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Sanofi,Pharma ,Hyderabad,92.0,4,1.5k,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Cemindia Projects,Engineering & Construction ,Mumbai,88.0,3,1.5k,4.2,"Job Security, Salary & Benefits, Company Culture",
Relaxo Footwear,Fashion & Textile ,New Delhi,159.0,46,1.5k,4.0,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Dainik Bhaskar Group,Printing & Publishing ,Bhopal,139.0,52,1.5k,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",
Bajaj Capital,Financial Services ,New Delhi,174.0,92,1.5k,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Asahi India Glass,Auto Components ,Chennai,88.0,96,1.5k,3.8,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Marriott International,Hospitality ,Bangalore,91.0,1.3k,1.5k,4.1,"Job Security, Skill Development / Learning, Company Culture",
IFB,Consumer Electronics & Appliances ,Bangalore,178.0,--,1.5k,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Broadridge Financial Solutions,FinTech ,Hyderabad,15.0,50,1.5k,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HCL Infosystems,IT Services & Consulting ,Noida,105.0,3,1.5k,4.0,"Work Life Balance, Job Security, Company Culture",
Amul India,Food Processing ,Ahmedabad,206.0,2,1.5k,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Suguna Foods,Food Processing ,Coimbatore,202.0,17,1.5k,4.0,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
IndiaFirst Life Insurance,Insurance ,Mumbai,243.0,46,1.5k,3.8,Salary & Benefits,
Urban Company,Internet ,Gurgaon,60.0,65,1.5k,3.3,,"Job Security, Promotions / Appraisal, Work Life Balance"
Nayara Energy,Oil & Gas ,Jamnagar,97.0,1,1.5k,4.2,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Oracle Cerner,Software Product ,Bangalore,8.0,--,1.5k,3.4,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Tesco,Retail ,Bangalore,18.0,5,1.5k,3.6,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Gujarat Fluorochemicals,Chemicals ,Bharuch,33.0,7,1.5k,3.9,"Job Security, Work Life Balance",Promotions / Appraisal
Muthoot Microfin,NBFC ,Kochi,407.0,16,1.5k,4.2,"Work Life Balance, Job Security, Skill Development / Learning",
Kotak Mahindra Prime,NBFC ,Mumbai,172.0,--,1.5k,3.9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Bisleri,Beverage ,Mumbai,178.0,17,1.5k,4.2,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Hinduja Leyland Finance,NBFC ,Chennai,299.0,6,1.5k,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Lumax Industries,Auto Components ,Gurgaon,42.0,13,1.5k,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal
Steel Strips Wheels,Auto Components ,Chennai,52.0,2,1.5k,3.7,,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Patra India,BPO ,Visakhapatnam,28.0,6,1.5k,3.6,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
Evalueserve,Analytics & KPO ,Gurgaon,16.0,73,1.5k,3.1,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
XL Dynamics,IT Services & Consulting ,Mumbai,33.0,4,1.5k,3.4,Salary & Benefits,"Job Security, Company Culture, Work Life Balance"
Tanishq,Jewellery ,Kolkata,235.0,--,1.4k,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",
Max Fashion,Retail ,Bangalore,154.0,5,1.5k,4.0,"Job Security, Skill Development / Learning, Company Culture",
GMR Group,Engineering & Construction ,New Delhi,73.0,38,1.5k,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Ashoka Buildcon,Engineering & Construction ,Nashik,156.0,--,1.5k,4.1,"Company Culture, Work Life Balance, Work Satisfaction",
Piramal Pharma,Pharma ,Mumbai,84.0,41,1.5k,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Karur Vysya Bank,Banking ,Chennai,189.0,8,1.5k,3.5,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
GE VERNOVA,Power ,Bangalore,84.0,259,1.5k,4.1,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Honeywell Technology Solutions,Industrial Automation ,Bangalore,19.0,--,1.5k,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
